OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,longitude,latitude
1,0.116357453,0.000782307,Newark Airport,1,EWR,-74.17152568,40.68948814
2,0.433469667,0.00486634,Jamaica Bay,2,Queens,-73.82248951,40.61079107
3,0.084341106,0.000314414,Allerton/Pelham Gardens,3,Bronx,-73.84494664,40.86574543
4,0.043566527,0.000111872,Alphabet City,4,Manhattan,-73.97772563,40.72413721
5,0.09214649,0.000497957,Arden Heights,5,Staten Island,-74.18753677,40.55066537
6,0.150490543,0.000606461,Arrochar/Fort Wadsworth,6,Staten Island,-74.07256368,40.59904686
7,0.107417171,0.000389788,Astoria,7,Queens,-73.92031477,40.76108187
8,0.027590691,2.66E-05,Astoria Park,8,Queens,-73.92312225,40.77862588
9,0.099784092,0.000338444,Auburndale,9,Queens,-73.78649085,40.75432771
10,0.099839479,0.000435824,Baisley Park,10,Queens,-73.78899813,40.67825239
11,0.079211039,0.000264521,Bath Beach,11,Brooklyn,-74.00751045,40.6040145
12,0.036661301,4.15E-05,Battery Park,12,Manhattan,-74.01572587,40.70249696
13,0.050281323,0.000149359,Battery Park City,13,Manhattan,-74.01589191,40.71153465
14,0.175213698,0.001381778,Bay Ridge,14,Brooklyn,-74.02852009,40.62359259
15,0.144336223,0.000925219,Bay Terrace/Fort Totten,15,Queens,-73.78525186,40.7848854
16,0.141291874,0.000871889,Bayside,16,Queens,-73.77473937,40.7612207
17,0.093522633,0.000322958,Bedford,17,Brooklyn,-73.95068607,40.69178023
18,0.06979955,0.00014885,Bedford Park,18,Bronx,-73.89126979,40.86867879
19,0.101824875,0.000546661,Bellerose,19,Queens,-73.7285819,40.73674328
20,0.051440192,0.000134513,Belmont,20,Bronx,-73.88619614,40.85774217
21,0.115973569,0.000380251,Bensonhurst East,21,Brooklyn,-73.98585701,40.60199502
22,0.126170229,0.000472063,Bensonhurst West,22,Brooklyn,-73.99507169,40.60968146
23,0.290556029,0.002195566,Bloomfield/Emerson Hill,23,Staten Island,-74.16048831,40.60751363
24,0.046999962,6.07E-05,Bloomingdale,24,Manhattan,-73.96552226,40.80191581
25,0.04714582,0.000124168,Boerum Hill,25,Brooklyn,-73.98647182,40.68571943
26,0.123547807,0.00053404,Borough Park,26,Brooklyn,-73.99012658,40.62860163
27,0.202508809,0.001340888,Breezy Point/Fort Tilden/Riis Beach,27,Queens,-73.90170547,40.55894644
28,0.097960782,0.000291204,Briarwood/Jamaica Hills,28,Queens,-73.80834608,40.71075353
29,0.071408313,0.000201674,Brighton Beach,29,Brooklyn,-73.96061959,40.5825144
30,0.094509767,0.000145862,Broad Channel,30,Queens,-73.82479344,40.60490816
31,0.096424567,0.000333976,Bronx Park,31,Bronx,-73.87609995,40.86001938
32,0.054267216,0.000150879,Bronxdale,32,Bronx,-73.86384665,40.86438045
33,0.053270293,0.000147417,Brooklyn Heights,33,Brooklyn,-73.99602139,40.6962571
34,0.065705932,0.000173946,Brooklyn Navy Yard,34,Brooklyn,-73.97231913,40.70250845
35,0.085787919,0.000323825,Brownsville,35,Brooklyn,-73.91258943,40.66380653
36,0.087050787,0.000247666,Bushwick North,36,Brooklyn,-73.91757445,40.69897493
37,0.14281004,0.000452063,Bushwick South,37,Brooklyn,-73.92041795,40.69629829
38,0.083217569,0.000327393,Cambria Heights,38,Queens,-73.73675716,40.6933694
39,0.132369621,0.000900283,Canarsie,39,Brooklyn,-73.89854834,40.63886441
40,0.051850665,0.000108949,Carroll Gardens,40,Brooklyn,-73.99525848,40.67854197
41,0.052793109,0.000143093,Central Harlem,41,Manhattan,-73.95070949,40.80417639
42,0.092709227,0.000263897,Central Harlem North,42,Manhattan,-73.94296153,40.82096858
43,0.099738618,0.000379663,Central Park,43,Manhattan,-73.96543784,40.78243093
44,0.235688968,0.001944656,Charleston/Tottenville,44,Staten Island,-74.23063315,40.52730922
45,0.045906863,9.14E-05,Chinatown,45,Manhattan,-73.99883404,40.71298223
46,0.13447543,0.000926392,City Island,46,Bronx,-73.77944083,40.84747323
47,0.089827556,0.000163198,Claremont/Bathgate,47,Bronx,-73.90038604,40.84531884
48,0.043746744,9.43E-05,Clinton East,48,Manhattan,-73.98983666,40.76224882
49,0.075290018,0.000203186,Clinton Hill,49,Brooklyn,-73.96170387,40.68876589
50,0.055747987,0.000173249,Clinton West,50,Manhattan,-73.9959105,40.76656845
51,0.095361344,0.000395757,Co-Op City,51,Bronx,-73.82951043,40.87344183
52,0.028907671,4.52E-05,Cobble Hill,52,Brooklyn,-73.99650572,40.68645905
53,0.161500913,0.000947531,College Point,53,Queens,-73.84718969,40.78199246
54,0.076219245,0.000132452,Columbia Street,54,Brooklyn,-74.00497293,40.6868501
55,0.149956808,0.000736275,Coney Island,55,Brooklyn,-73.98621061,40.57708743
56,0.056847813,0.000180908,Corona,56,Queens,-73.85770933,40.74156513
57,0.019270505,1.80E-05,Corona,56,Queens,-73.85770933,40.74156513
58,0.059855409,0.000204981,Country Club,58,Bronx,-73.81897983,40.84149345
59,0.037794807,6.29E-05,Crotona Park,59,Bronx,-73.89390943,40.83893229
60,0.078648288,0.000161833,Crotona Park East,60,Bronx,-73.88497943,40.83133704
61,0.117310808,0.000510772,Crown Heights North,61,Brooklyn,-73.94241783,40.67397349
62,0.082259336,0.000158238,Crown Heights South,62,Brooklyn,-73.94563602,40.66727684
63,0.119100722,0.000353191,Cypress Hills,63,Brooklyn,-73.88253993,40.68471025
64,0.184451885,0.001057903,Douglaston,64,Queens,-73.73637252,40.76064351
65,0.044607068,8.18E-05,Downtown Brooklyn/MetroTech,65,Brooklyn,-73.98530022,40.6953503
66,0.054633459,0.000108379,DUMBO/Vinegar Hill,66,Brooklyn,-73.98725069,40.7017043
67,0.099747078,0.000394282,Dyker Heights,67,Brooklyn,-74.01239309,40.61841553
68,0.04933738,0.000111073,East Chelsea,68,Manhattan,-73.99991915,40.74843161
69,0.078989645,0.000199052,East Concourse/Concourse Village,69,Bronx,-73.91616768,40.83060602
70,0.063840318,0.000195458,East Elmhurst,70,Queens,-73.86543993,40.76419071
71,0.093169455,0.000382573,East Flatbush/Farragut,71,Brooklyn,-73.93707472,40.64418723
72,0.09520207,0.000323532,East Flatbush/Remsen Village,72,Brooklyn,-73.92023428,40.65265005
73,0.085302021,0.0002918,East Flushing,73,Queens,-73.80771091,40.75376975
74,0.110290936,0.000295038,East Harlem North,74,Manhattan,-73.93740476,40.80561329
75,0.0876639,0.000240564,East Harlem South,75,Manhattan,-73.94541492,40.79047881
76,0.241203016,0.001266601,East New York,76,Brooklyn,-73.88256704,40.65882517
77,0.075461081,0.000191918,East New York/Pennsylvania Avenue,77,Brooklyn,-73.8926683,40.66714378
78,0.09359445,0.000191114,East Tremont,78,Bronx,-73.88202178,40.84606231
79,0.042624911,0.000107893,East Village,79,Manhattan,-73.98531513,40.72795369
80,0.117212621,0.000407322,East Williamsburg,80,Brooklyn,-73.9371125,40.71445007
81,0.197592772,0.000399567,Eastchester,81,Bronx,-73.82332625,40.8773943
82,0.11987565,0.000323601,Elmhurst,82,Queens,-73.8781129,40.73847506
83,0.105984933,0.000217464,Elmhurst/Maspeth,83,Queens,-73.89387459,40.7401634
84,0.233623987,0.002073756,Eltingville/Annadale/Prince's Bay,84,Staten Island,-74.19046128,40.53202398
85,0.057475147,0.000143638,Erasmus,85,Brooklyn,-73.95220965,40.64700889
86,0.134245283,0.000623279,Far Rockaway,86,Queens,-73.75590396,40.60257136
87,0.03690155,6.72E-05,Financial District North,87,Manhattan,-74.00723896,40.7066588
88,0.035204604,5.73E-05,Financial District South,88,Manhattan,-74.01101072,40.70327967
89,0.12279457,0.000447548,Flatbush/Ditmas Park,89,Brooklyn,-73.96065379,40.64080358
